Word,C1,C2,C3,C4,Frequency
中东,中,东,NA,NA,2.9948
马队,马,队,NA,NA,0.2001
门徒,门,徒,NA,NA,9.3403
申讨,申,讨,NA,NA,0.0297
曲,曲,NA,NA,NA,32.0237
黑洞,黑,洞,NA,NA,2.8614
簪子,簪,子,NA,NA,0.089
案,案,NA,NA,NA,48.9177
投,投,NA,NA,NA,65.0111
时候,时,候,NA,NA,1260.682
稳,稳,NA,NA,NA,36.8718
干瘪,干,瘪,NA,NA,0.6301
话语,话,语,NA,NA,9.1698
财税,财,税,NA,NA,0.1853
耳机,耳,机,NA,NA,17.8132
别针,别,针,NA,NA,1.0823
敝,敝,NA,NA,NA,0.1186
打滚,打,滚,NA,NA,3.2987
拓宽,拓,宽,NA,NA,0.7561
庄严,庄,严,NA,NA,2.4537
阻尼,阻,尼,NA,NA,0.0593
班会,班,会,NA,NA,0.3855
野外,野,外,NA,NA,5.4188
兵家,兵,家,NA,NA,0.126
温驯,温,驯,NA,NA,0.3336
恭喜,恭,喜,NA,NA,50.8747
描,描,NA,NA,NA,0.2595
鬼魅,鬼,魅,NA,NA,0.4893
俯首,俯,首,NA,NA,0.5411
流言,流,言,NA,NA,2.639
闷棍,闷,棍,NA,NA,0.1631
急进,急,进,NA,NA,0.3262
畜,畜,NA,NA,NA,3.1134
开刀,开,刀,NA,NA,1.6531
韧性,韧,性,NA,NA,1.1119
款,款,NA,NA,NA,153.699
业大,业,大,NA,NA,0.1186
遵照,遵,照,NA,NA,0.8821
完成,完,成,NA,NA,295.3076
必须,必,须,NA,NA,300.7413
不易,不,易,NA,NA,0.4596
艺术,艺,术,NA,NA,45.2409
窒,窒,NA,NA,NA,0.0371
垄断,垄,断,NA,NA,4.7591
鬓角,鬓,角,NA,NA,0.5189
黎明,黎,明,NA,NA,24.9222
盲目,盲,目,NA,NA,10.7042
暴跌,暴,跌,NA,NA,1.6827
敬爱,敬,爱,NA,NA,2.0311
参与,参,与,NA,NA,488.5545
缘分,缘,分,NA,NA,27.6649
内室,内,室,NA,NA,0.0445
秉公,秉,公,NA,NA,0.2076
痛觉,痛,觉,NA,NA,0.1853
错字,错,字,NA,NA,0.7709
矮,矮,NA,NA,NA,22.7279
粗活,粗,活,NA,NA,0.1112
问罪,问,罪,NA,NA,0.089
换季,换,季,NA,NA,0.5189
撞击,撞,击,NA,NA,3.4248
卵,卵,NA,NA,NA,3.7806
毒计,毒,计,NA,NA,0.2743
国旗,国,旗,NA,NA,3.7139
默契,默,契,NA,NA,11.3121
蹿,蹿,NA,NA,NA,0.2891
转战,转,战,NA,NA,3.2468
隐,隐,NA,NA,NA,4.2847
算卦,算,卦,NA,NA,0.2372
但是,但,是,NA,NA,739.8517
幼体,幼,体,NA,NA,0.0445
小车,小,车,NA,NA,3.3951
滚动,滚,动,NA,NA,3.3506
案件,案,件,NA,NA,16.3751
民意,民,意,NA,NA,2.513
成仁,成,仁,NA,NA,0.5041
盔,盔,NA,NA,NA,0.215
苯酚,苯,酚,NA,NA,0.1408
爽,爽,NA,NA,NA,36.212
姑息,姑,息,NA,NA,0.3188
折服,折,服,NA,NA,8.1245
亵渎,亵,渎,NA,NA,2.1868
传,传,NA,NA,NA,96.7161
解救,解,救,NA,NA,8.5026
散步,散,步,NA,NA,18.6583
方位,方,位,NA,NA,2.9874
混蛋,混,蛋,NA,NA,71.9125
梦见,梦,见,NA,NA,40.1186
团练,团,练,NA,NA,0.0148
求偶,求,偶,NA,NA,0.2446
海葵,海,葵,NA,NA,0.1557
余力,余,力,NA,NA,0.3113
放任,放,任,NA,NA,2.424
喏,喏,NA,NA,NA,0.6894
通晓,通,晓,NA,NA,0.4893
训令,训,令,NA,NA,0.0222
概略,概,略,NA,NA,0.0593
牧场,牧,场,NA,NA,5.9229
柜子,柜,子,NA,NA,6.5011
鸿运,鸿,运,NA,NA,17.9689
滑坡,滑,坡,NA,NA,0.8377
懊恼,懊,恼,NA,NA,2.6316
稠密,稠,密,NA,NA,0.2001
贝勒,贝,勒,NA,NA,0.252
耐劳,耐,劳,NA,NA,0.4299
迂回,迂,回,NA,NA,1.5641
舵,舵,NA,NA,NA,1.1045
益,益,NA,NA,NA,5.0556
载重,载,重,NA,NA,0.1112
出游,出,游,NA,NA,5.3595
到家,到,家,NA,NA,38.6434
近邻,近,邻,NA,NA,0.2298
雍容,雍,容,NA,NA,0.6079
宝石,宝,石,NA,NA,10.8599
爱,爱,NA,NA,NA,2042.6093
仰天,仰,天,NA,NA,1.06
远,远,NA,NA,NA,153.6546
让利,让,利,NA,NA,0.3929
搜查,搜,查,NA,NA,11.8087
光彩,光,彩,NA,NA,5.9526
择,择,NA,NA,NA,0.6375
血肉,血,肉,NA,NA,2.2683
借光,借,光,NA,NA,0.467
没治,没,治,NA,NA,0.2817
现货,现,货,NA,NA,12.0534
消肿,消,肿,NA,NA,3.9733
真个,真,个,NA,NA,0.2965
澪,澪,NA,NA,NA,0.3336
牡蛎,牡,蛎,NA,NA,1.5567
大凡,大,凡,NA,NA,0.5189
胡话,胡,话,NA,NA,1.4974
遮阳,遮,阳,NA,NA,0.341
划,划,NA,NA,NA,15.063
宅第,宅,第,NA,NA,0.126
世界,世,界,NA,NA,677.6798
牢靠,牢,靠,NA,NA,0.5411
豪气,豪,气,NA,NA,0.9044
瓢,瓢,NA,NA,NA,0.1483
雄威,雄,威,NA,NA,0.1483
周详,周,详,NA,NA,0.2891
受降,受,降,NA,NA,0.0815
沉冤,沉,冤,NA,NA,0.0593
前锋,前,锋,NA,NA,2.3351
舞星,舞,星,NA,NA,0.0297
枯井,枯,井,NA,NA,0.0741
电容,电,容,NA,NA,0.6746
霸王,霸,王,NA,NA,6.6049
掉价,掉,价,NA,NA,0.4151
效力,效,力,NA,NA,2.5797
侣,侣,NA,NA,NA,0.2446
授勋,授,勋,NA,NA,0.126
砧板,砧,板,NA,NA,0.5115
思,思,NA,NA,NA,12.1349
甲苯,甲,苯,NA,NA,0.1853
清规,清,规,NA,NA,0.0964
天梯,天,梯,NA,NA,1.3862
勘测,勘,测,NA,NA,0.2817
远大,远,大,NA,NA,2.6761
作怪,作,怪,NA,NA,2.0979
怀恨,怀,恨,NA,NA,0.593
凝聚,凝,聚,NA,NA,2.8984
舵手,舵,手,NA,NA,0.2298
烹饪,烹,饪,NA,NA,4.4033
照直,照,直,NA,NA,0.1038
上列,上,列,NA,NA,0.0964
一阵,一,阵,NA,NA,4.1957
群落,群,落,NA,NA,0.215
盘古,盘,古,NA,NA,1.8162
老辣,老,辣,NA,NA,0.1038
脑炎,脑,炎,NA,NA,0.2891
对号,对,号,NA,NA,6.0638
血债,血,债,NA,NA,0.7487
草鸡,草,鸡,NA,NA,0.2595
橘黄,橘,黄,NA,NA,0.2595
繁育,繁,育,NA,NA,0.215
宽限,宽,限,NA,NA,0.215
预备,预,备,NA,NA,6.9162
药铺,药,铺,NA,NA,0.2669
冒充,冒,充,NA,NA,3.9288
